Gene	symbol	log2FC	t	pvalue	padj	significant
ENSG00000198825	INPP5F	-0.36235286652257637	-4.646895319591603	1.808791767378985e-05	0.012866097039430032	Down
ENSG00000274996		-0.13220535302965686	-4.65684266617925	1.836969119110155e-05	0.012866097039430032	Down
ENSG00000221843	SPATA31H1	-0.12887106064577125	-4.62888640361143	1.9633669600459366e-05	0.012866097039430032	Down
ENSG00000243960		-0.18128094923712712	-4.606857801529348	1.9661191731537805e-05	0.012866097039430032	Down
ENSG00000158773	USF1	-0.10559055917458471	-4.595726913572245	2.0651394773192336e-05	0.012866097039430032	Down
ENSG00000064115	TM7SF3	-0.2148667404844402	-4.595646715331921	2.1037415689404307e-05	0.012866097039430032	Down
ENSG00000237212		0.06677547409051154	4.609125567927799	2.1339209050796314e-05	0.012866097039430032	Not significant
ENSG00000164253	WDR41	-0.16177112476027133	-4.581884991618135	2.1720173963543524e-05	0.012866097039430032	Down
ENSG00000121310	ECHDC2	0.27480247026251536	4.5689711514885065	2.249664598222938e-05	0.012866097039430032	Up
ENSG00000153012	LGI2	-0.2869429974527944	-4.6083888784757	2.3290047115068742e-05	0.012866097039430032	Down
ENSG00000198842	STYXL2	-0.18569026355788742	-4.556616055964147	2.36298565766647e-05	0.012866097039430032	Down
ENSG00000137996	RTCA	-0.14123395655544124	-4.555634323211121	2.3693269395344037e-05	0.012866097039430032	Down
ENSG00000237838		-0.1663661841959472	-4.565449355857607	2.3983571772898854e-05	0.012866097039430032	Down
ENSG00000166111	SVOP	-0.4150414457154965	-4.5687274101610065	2.417025149468915e-05	0.012866097039430032	Down
ENSG00000198729	PPP1R14C	-0.15723395134180462	-4.541435108213316	2.48658648193773e-05	0.012866097039430032	Down
ENSG00000169490	TM2D2	-0.15803556301534671	-4.5569876748271065	2.506868484199433e-05	0.012866097039430032	Down
ENSG00000066248	NGEF	-0.3419477342324191	-4.536033764435708	2.5298585762133928e-05	0.012866097039430032	Down
ENSG00000177875	CCDC184	-0.2733215323450122	-4.547771622058797	2.603936188629506e-05	0.012866097039430032	Down
